invoice_id,invoice_number,invoice_kind,invoice_date,customer_name,bill_to_name,ship_to_name,terms_days,transporter,currency,pack_size_kg_default,total_qty_kg,subtotal_inr,transport_inr,grand_total_inr,supported_line_count,unsupported_line_count,source_note
BULK-INV-5000,5000,bulk_dummy,2026-04-01,Raveshia Pigments,Raveshia Pigments,Raveshia Pigments,15,Customer pick-up,INR,25,50000,4600000,184000,4784000,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5001,5001,bulk_dummy,2026-04-02,Master Coatings,Master Coatings,Master Coatings,15,Customer pick-up,INR,25,40000,3680000,147200,3827200,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5002,5002,bulk_dummy,2026-04-03,Vega Chemicals,Vega Chemicals,Vega Chemicals,15,Customer pick-up,INR,25,140000,12880000,515200,13395200,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5003,5003,bulk_dummy,2026-04-04,ColorVista,ColorVista,ColorVista,15,Customer pick-up,INR,25,90000,8280000,331200,8611200,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5004,5004,bulk_dummy,2026-04-05,Prime Shades,Prime Shades,Prime Shades,15,Customer pick-up,INR,25,330000,30360000,1214400,31574400,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5005,5005,bulk_dummy,2026-04-06,PolyCoat Labs,PolyCoat Labs,PolyCoat Labs,15,Customer pick-up,INR,25,30000,2930000,117200,3047200,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5006,5006,bulk_dummy,2026-04-07,Asian Paints Nepal,Asian Paints Nepal,Asian Paints Nepal,15,Customer pick-up,INR,25,30000,2910000,116400,3026400,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5007,5007,bulk_dummy,2026-04-08,PolyCoat Labs,PolyCoat Labs,PolyCoat Labs,15,Customer pick-up,INR,25,130000,12660000,506400,13166400,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5008,5008,bulk_dummy,2026-04-09,ColorVista,ColorVista,ColorVista,15,Customer pick-up,INR,25,8000,792000,31680,823680,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5009,5009,bulk_dummy,2026-04-10,Asian Paints Nepal,Asian Paints Nepal,Asian Paints Nepal,15,Customer pick-up,INR,25,27000,2685000,107400,2792400,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5010,5010,bulk_dummy,2026-04-11,Sri Kartikeya Enterprises,Sri Kartikeya Enterprises,Sri Kartikeya Enterprises,15,Customer pick-up,INR,25,2050000,172200000,6888000,179088000,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5011,5011,bulk_dummy,2026-04-12,Sri Kartikeya Enterprises,Sri Kartikeya Enterprises,Sri Kartikeya Enterprises,15,Customer pick-up,INR,25,90000,7560000,302400,7862400,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5012,5012,bulk_dummy,2026-04-13,Hitershi Global,Hitershi Global,Hitershi Global,15,Customer pick-up,INR,25,210000,17640000,705600,18345600,2,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5013,5013,bulk_dummy,2026-04-14,Classic Oxides,Classic Oxides,Classic Oxides,15,Customer pick-up,INR,25,200000,16800000,672000,17472000,1,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
BULK-INV-5014,5014,bulk_dummy,2026-04-15,Kolorjet Chemicals,Kolorjet Chemicals,Kolorjet Chemicals,15,Customer pick-up,INR,25,1900000,159600000,6384000,165984000,3,0,Compact bulk dummy invoice pack regenerated for demo with real inventory shortage scenarios
INV-4C4F6F41,INV-69,,2026-05-15,FINDABILITY,,,,,,,,,,,,,
