product_description,color_family,grade,standard_code,application,target_method_id,target_l,target_a,target_b,target_delta_l,target_delta_a,target_delta_b,pack_size_kg,bag_count,qty_kg,qty_mt,rate_per_kg_inr,line_value_inr,inventory_match_status,source_basis,invoice_line_id,invoice_id,invoice_number,invoice_date,line_no,customer_name,fulfillment_status,outstanding_qty_mt,last_partial_at
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,"method_i_b,method_ii",,,,0.29,0.55,0.09,25,800,20000,20.0,92,1840000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,1,Raveshia Pigments,open,20.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,"method_i_a,method_i_b,method_ii",,,,0.37,0.69,0.53,25,1200,30000,30.0,92,2760000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,2,Raveshia Pigments,open,30.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,"method_i_a,method_ii",,,,-0.7,-0.53,-1.54,25,1600,40000,40.0,92,3680000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5001-L01,BULK-INV-5001,5001,2026-04-02,1,Master Coatings,open,40.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,,,,,-0.18,-0.29,-0.32,25,2400,60000,60.0,92,5520000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5002-L01,BULK-INV-5002,5002,2026-04-03,1,Vega Chemicals,open,60.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,method_i_b,,,,0.15,-0.15,-0.27,25,3200,80000,80.0,92,7360000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5002-L02,BULK-INV-5002,5002,2026-04-03,2,Vega Chemicals,open,80.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,method_ii,,,,-0.42,-0.66,-1.15,25,3600,90000,90.0,92,8280000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5003-L01,BULK-INV-5003,5003,2026-04-04,1,ColorVista,open,90.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,method_i_b,,,,0.2,0.48,1.3,25,6000,150000,150.0,92,13800000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5004-L01,BULK-INV-5004,5004,2026-04-05,1,Prime Shades,open,150.0,
SYNTHETIC RED OXIDE 130 (L325) 25KG DCW BOPP BAG,RED,130,325,Paint,method_i_b,,,,-0.06,-0.1,0.24,25,7200,180000,180.0,92,16560000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5004-L02,BULK-INV-5004,5004,2026-04-05,2,Prime Shades,open,180.0,
SYNTHETIC ORANGE OXIDE 150 (4400) 25KG DCW BOPP BAG,ORANGE,150,4400,Construction,"method_i_b,method_ii",,,,-0.03,-0.19,0.18,25,400,10000,10.0,97,970000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5005-L01,BULK-INV-5005,5005,2026-04-06,1,PolyCoat Labs,open,10.0,
SYNTHETIC ORANGE OXIDE 150 (4400) 25KG DCW BOPP BAG,ORANGE,150,4400,Cement,method_iv_b,,,,-0.06,0.17,-0.04,25,800,20000,20.0,98,1960000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5005-L02,BULK-INV-5005,5005,2026-04-06,2,PolyCoat Labs,open,20.0,
