invoice_line_id,invoice_id,invoice_number,invoice_date,lot_no,grade,standard_code,application,allocated_qty_mt,fit_de_to_target,fit_band,allocation_rank
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,6788A,130A,3249B,Paint,3.0,0.017,excellent,1
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,6764-B,130,325,Paint,0.75,0.13,excellent,1
BULK-INV-5090-L01,BULK-INV-5090,5090,2026-04-01,6802A,130A,3249B,Water Based,1.0,0.119,excellent,1
BULK-INV-5090-L02,BULK-INV-5090,5090,2026-04-01,6778N-B,130,325,Water Based,2.0,0.292,excellent,1
BULK-INV-5135-L01,BULK-INV-5135,5135,2026-04-01,6778N-B,130,325,Water Based,3.0,0.292,excellent,1
BULK-INV-5135-L01,BULK-INV-5135,5135,2026-04-01,6823N-D,130,325,Water Based,5.0,0.493,excellent,2
BULK-INV-5135-L01,BULK-INV-5135,5135,2026-04-01,6824N-A,130,325,Water Based,4.0,0.52,excellent,3
BULK-INV-5180-L01,BULK-INV-5180,5180,2026-04-01,6788A,130A,3249B,Paint,1.0,0.017,excellent,1
BULK-INV-5225-L01,BULK-INV-5225,5225,2026-04-01,6764-B,130,325,Paint,1.5,0.13,excellent,1
BULK-INV-5001-L01,BULK-INV-5001,5001,2026-04-02,6788A,130A,3249B,Paint,3.0,0.017,excellent,1
BULK-INV-5091-L01,BULK-INV-5091,5091,2026-04-02,6802A,130A,3249B,Water Based,7.5,0.119,excellent,1
BULK-INV-5136-L01,BULK-INV-5136,5136,2026-04-02,6802A,130A,3249B,Water Based,1.5,0.119,excellent,1
BULK-INV-5136-L02,BULK-INV-5136,5136,2026-04-02,6796A,130A,3249B,Water Based,0.5,0.161,excellent,1
BULK-INV-5181-L01,BULK-INV-5181,5181,2026-04-02,6764-B,130,325,Paint,0.75,0.13,excellent,1
BULK-INV-5226-L01,BULK-INV-5226,5226,2026-04-02,6764-B,130,325,Paint,2.0,0.13,excellent,1
BULK-INV-5226-L01,BULK-INV-5226,5226,2026-04-02,6767A,130,325,Paint,8.0,0.269,excellent,2
BULK-INV-5002-L01,BULK-INV-5002,5002,2026-04-03,6788A,130A,3249B,Paint,3.0,0.017,excellent,1
BULK-INV-5002-L01,BULK-INV-5002,5002,2026-04-03,6787B,130A,3249B,Paint,4.5,0.07,excellent,2
BULK-INV-5002-L02,BULK-INV-5002,5002,2026-04-03,6824N-A,130,325,Water Based,1.0,0.52,excellent,1
BULK-INV-5047-L01,BULK-INV-5047,5047,2026-04-03,6823N-C,130,325,Paint,2.5,0.269,excellent,1
BULK-INV-5092-L01,BULK-INV-5092,5092,2026-04-03,6796A,130A,3249B,Water Based,2.5,0.161,excellent,1
BULK-INV-5092-L02,BULK-INV-5092,5092,2026-04-03,6787B,130A,3249B,Paint,1.0,0.07,excellent,1
BULK-INV-5137-L01,BULK-INV-5137,5137,2026-04-03,6823N-C,130,325,Paint,1.5,0.269,excellent,1
BULK-INV-5182-L01,BULK-INV-5182,5182,2026-04-03,6767A,130,325,Paint,2.0,0.269,excellent,1
BULK-INV-5182-L01,BULK-INV-5182,5182,2026-04-03,6823N-C,130,325,Paint,1.0,0.269,excellent,2
BULK-INV-5227-L01,BULK-INV-5227,5227,2026-04-03,6768A,130,325,Paint,0.75,0.284,excellent,1
BULK-INV-5227-L02,BULK-INV-5227,5227,2026-04-03,6768A,130,325,Paint,0.5,0.284,excellent,1
BULK-INV-5003-L01,BULK-INV-5003,5003,2026-04-04,6823N-A,130,325,Water Based,0.75,0.732,strict,1
BULK-INV-5003-L02,BULK-INV-5003,5003,2026-04-04,6787B,130A,3249B,Paint,1.5,0.07,excellent,1
BULK-INV-5048-L01,BULK-INV-5048,5048,2026-04-04,6823N-A,130,325,Water Based,1.25,0.732,strict,1
BULK-INV-5093-L01,BULK-INV-5093,5093,2026-04-04,6768A,130,325,Paint,2.5,0.284,excellent,1
BULK-INV-5093-L02,BULK-INV-5093,5093,2026-04-04,6796A,130A,3249B,Water Based,0.75,0.161,excellent,1
BULK-INV-5138-L01,BULK-INV-5138,5138,2026-04-04,6797B,130A,3249B,Paint,1.5,0.082,excellent,1
BULK-INV-5183-L01,BULK-INV-5183,5183,2026-04-04,6796A,130A,3249B,Water Based,6.0,0.161,excellent,1
BULK-INV-5183-L02,BULK-INV-5183,5183,2026-04-04,6823N-A,130,325,Water Based,1.0,0.732,strict,1
BULK-INV-5228-L01,BULK-INV-5228,5228,2026-04-04,6796A,130A,3249B,Water Based,0.25,0.161,excellent,1
BULK-INV-5228-L01,BULK-INV-5228,5228,2026-04-04,6801A,130A,3249B,Water Based,9.75,0.212,excellent,2
BULK-INV-5228-L02,BULK-INV-5228,5228,2026-04-04,6823N-A,130,325,Water Based,1.5,0.732,strict,1
BULK-INV-5004-L01,BULK-INV-5004,5004,2026-04-05,6801A,130A,3249B,Water Based,0.25,0.212,excellent,1
BULK-INV-5004-L01,BULK-INV-5004,5004,2026-04-05,6789A,130A,3249B,Water Based,5.75,0.214,excellent,2
BULK-INV-5094-L01,BULK-INV-5094,5094,2026-04-05,6823N-A,130,325,Water Based,0.5,0.732,strict,1
BULK-INV-5094-L01,BULK-INV-5094,5094,2026-04-05,6822N-D,130,325,Water Based,5.0,0.747,strict,2
BULK-INV-5094-L01,BULK-INV-5094,5094,2026-04-05,6828N-D,130,325,Water Based,2.0,0.799,strict,3
BULK-INV-5094-L02,BULK-INV-5094,5094,2026-04-05,6768A,130,325,Paint,1.25,0.284,excellent,1
BULK-INV-5094-L02,BULK-INV-5094,5094,2026-04-05,6764-A,130,325,Paint,1.75,0.297,excellent,2
BULK-INV-5139-L01,BULK-INV-5139,5139,2026-04-05,6782A,130,325,Paint,7.5,0.297,excellent,1
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,6789A,130A,3249B,Water Based,4.25,0.214,excellent,1
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,6822N-A,130A,3249B,Water Based,5.0,0.331,excellent,2
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,6797A,130A,3249B,Water Based,10.0,0.335,excellent,3
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,6787A,130A,3249B,Water Based,10.0,0.35,excellent,4
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,6802B,130A,3249B,Water Based,0.75,0.351,excellent,5
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,6764-A,130,325,Paint,8.25,0.297,excellent,1
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,6782A,130,325,Paint,2.5,0.297,excellent,2
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,6781A,130,325,Paint,10.0,0.309,excellent,3
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,6781B,130,325,Paint,2.0,0.311,excellent,4
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,6785A,130,325,Paint,7.25,0.323,excellent,5
BULK-INV-5050-L01,BULK-INV-5050,5050,2026-04-06,6785A,130,325,Paint,2.75,0.323,excellent,1
BULK-INV-5050-L01,BULK-INV-5050,5050,2026-04-06,6822N-C,130,325,Paint,5.0,0.369,excellent,2
BULK-INV-5050-L01,BULK-INV-5050,5050,2026-04-06,6767B,130,325,Paint,2.25,0.371,excellent,3
BULK-INV-5050-L02,BULK-INV-5050,5050,2026-04-06,6828N-D,130,325,Water Based,0.75,0.799,strict,1
BULK-INV-5095-L01,BULK-INV-5095,5095,2026-04-06,6767B,130,325,Paint,1.5,0.371,excellent,1
BULK-INV-5095-L02,BULK-INV-5095,5095,2026-04-06,6797B,130A,3249B,Paint,1.0,0.082,excellent,1
BULK-INV-5140-L01,BULK-INV-5140,5140,2026-04-06,6767B,130,325,Paint,3.5,0.371,excellent,1
BULK-INV-5140-L02,BULK-INV-5140,5140,2026-04-06,6828N-A,130,325,Paint,1.25,0.371,excellent,1
BULK-INV-5185-L01,BULK-INV-5185,5185,2026-04-06,6828N-D,130,325,Water Based,0.75,0.799,strict,1
BULK-INV-5185-L02,BULK-INV-5185,5185,2026-04-06,6828N-D,130,325,Water Based,1.0,0.799,strict,1
BULK-INV-5006-L01,BULK-INV-5006,5006,2026-04-07,6802B,130A,3249B,Water Based,0.5,0.351,excellent,1
BULK-INV-5051-L01,BULK-INV-5051,5051,2026-04-07,6802B,130A,3249B,Water Based,0.5,0.351,excellent,1
BULK-INV-5051-L02,BULK-INV-5051,5051,2026-04-07,6797B,130A,3249B,Paint,0.75,0.082,excellent,1
BULK-INV-5096-L01,BULK-INV-5096,5096,2026-04-07,6828N-A,130,325,Paint,3.75,0.371,excellent,1
BULK-INV-5096-L01,BULK-INV-5096,5096,2026-04-07,6767B,130,325,Paint,2.75,0.371,excellent,2
BULK-INV-5096-L01,BULK-INV-5096,5096,2026-04-07,6770A,130,325,Paint,8.5,0.387,excellent,3
BULK-INV-5141-L01,BULK-INV-5141,5141,2026-04-07,6770A,130,325,Paint,1.5,0.387,excellent,1
BULK-INV-5141-L01,BULK-INV-5141,5141,2026-04-07,6784B,130,325,Paint,7.0,0.396,excellent,2
BULK-INV-5141-L01,BULK-INV-5141,5141,2026-04-07,6784A,130,325,Paint,1.5,0.415,excellent,3
BULK-INV-5186-L01,BULK-INV-5186,5186,2026-04-07,6828N-D,130,325,Water Based,0.5,0.799,strict,1
BULK-INV-5186-L01,BULK-INV-5186,5186,2026-04-07,6563A,130,325,Water Based,3.0,0.929,strict,2
BULK-INV-5186-L02,BULK-INV-5186,5186,2026-04-07,6802B,130A,3249B,Water Based,2.5,0.351,excellent,1
BULK-INV-5231-L01,BULK-INV-5231,5231,2026-04-07,6797B,130A,3249B,Paint,3.75,0.082,excellent,1
BULK-INV-5231-L01,BULK-INV-5231,5231,2026-04-07,6796B,130A,3249B,Paint,8.0,0.197,excellent,2
BULK-INV-5231-L01,BULK-INV-5231,5231,2026-04-07,6788B,130A,3249B,Paint,8.25,0.271,excellent,3
BULK-INV-5052-L01,BULK-INV-5052,5052,2026-04-08,6788B,130A,3249B,Paint,1.75,0.271,excellent,1
BULK-INV-5052-L01,BULK-INV-5052,5052,2026-04-08,6803B,130A,3249B,Paint,0.75,0.429,excellent,2
BULK-INV-5097-L01,BULK-INV-5097,5097,2026-04-08,6803B,130A,3249B,Paint,4.25,0.429,excellent,1
BULK-INV-5097-L01,BULK-INV-5097,5097,2026-04-08,6801B,130A,3249B,Paint,3.25,0.59,excellent,2
BULK-INV-5142-L01,BULK-INV-5142,5142,2026-04-08,6563A,130,325,Water Based,3.0,0.929,strict,1
BULK-INV-5142-L01,BULK-INV-5142,5142,2026-04-08,6828N-C,130,325,Water Based,3.0,1.052,relaxed,2
BULK-INV-5187-L01,BULK-INV-5187,5187,2026-04-08,6801B,130A,3249B,Paint,0.75,0.59,excellent,1
BULK-INV-5187-L01,BULK-INV-5187,5187,2026-04-08,6803A,130A,3249B,Paint,0.25,0.611,strict,2
BULK-INV-5232-L01,BULK-INV-5232,5232,2026-04-08,6828N-C,130,325,Water Based,2.0,1.052,relaxed,1
BULK-INV-5232-L02,BULK-INV-5232,5232,2026-04-08,6802B,130A,3249B,Water Based,1.0,0.351,excellent,1
BULK-INV-5008-L01,BULK-INV-5008,5008,2026-04-09,6802B,130A,3249B,Water Based,0.75,0.351,excellent,1
BULK-INV-5053-L01,BULK-INV-5053,5053,2026-04-09,6802B,130A,3249B,Water Based,0.75,0.351,excellent,1
BULK-INV-5098-L01,BULK-INV-5098,5098,2026-04-09,6802B,130A,3249B,Water Based,1.5,0.351,excellent,1
BULK-INV-5188-L01,BULK-INV-5188,5188,2026-04-09,6803A,130A,3249B,Paint,7.5,0.611,strict,1
BULK-INV-5188-L02,BULK-INV-5188,5188,2026-04-09,6784A,130,325,Paint,0.75,0.415,excellent,1
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6803A,130A,3249B,Paint,2.25,0.611,strict,1
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6833B,130A,3249B,Paint,10.0,0.708,strict,2
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6833A,130A,3249B,Paint,10.0,0.77,strict,3
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6802B,130A,3249B,Paint,1.75,0.827,strict,4
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6548A,130A,3249B,Paint,4.0,0.833,strict,5
BULK-INV-5233-L01,BULK-INV-5233,5233,2026-04-09,6832B,130A,3249B,Paint,2.0,0.897,strict,6
BULK-INV-5009-L01,BULK-INV-5009,5009,2026-04-10,6127A,130,325,Water Based,5.0,1.205,relaxed,1
BULK-INV-5009-L01,BULK-INV-5009,5009,2026-04-10,6566A,130,325,Water Based,2.5,1.422,relaxed,2
BULK-INV-5054-L01,BULK-INV-5054,5054,2026-04-10,6566A,130,325,Water Based,2.5,1.422,relaxed,1
BULK-INV-5099-L01,BULK-INV-5099,5099,2026-04-10,6832B,130A,3249B,Paint,4.0,0.897,strict,1
BULK-INV-5144-L01,BULK-INV-5144,5144,2026-04-10,6784A,130,325,Paint,1.25,0.415,excellent,1
BULK-INV-5189-L01,BULK-INV-5189,5189,2026-04-10,6784A,130,325,Paint,6.5,0.415,excellent,1
BULK-INV-5189-L01,BULK-INV-5189,5189,2026-04-10,6785B,130,325,Paint,10.0,0.453,excellent,2
BULK-INV-5189-L01,BULK-INV-5189,5189,2026-04-10,6812B,130,325,Paint,10.0,0.72,strict,3
BULK-INV-5189-L01,BULK-INV-5189,5189,2026-04-10,6812A,130,325,Paint,3.5,0.836,strict,4
BULK-INV-5234-L01,BULK-INV-5234,5234,2026-04-10,6832A,130A,3249B,Paint,0.75,0.923,strict,1
BULK-INV-5010-L01,BULK-INV-5010,5010,2026-04-11,6566A,130,325,Water Based,1.0,1.422,relaxed,1
BULK-INV-5010-L01,BULK-INV-5010,5010,2026-04-11,6826N-D,130,325,Water Based,5.0,1.84,review,2
BULK-INV-5010-L01,BULK-INV-5010,5010,2026-04-11,6812A,130,325,Water Based,4.0,1.955,review,3
BULK-INV-5010-L02,BULK-INV-5010,5010,2026-04-11,6812A,130,325,Water Based,1.0,1.955,review,1
BULK-INV-5055-L01,BULK-INV-5055,5055,2026-04-11,6812A,130,325,Paint,1.5,0.836,strict,1
BULK-INV-5055-L01,BULK-INV-5055,5055,2026-04-11,6827N-A,130,325,Paint,5.0,1.231,relaxed,2
BULK-INV-5100-L01,BULK-INV-5100,5100,2026-04-11,6832A,130A,3249B,Paint,9.25,0.923,strict,1
BULK-INV-5100-L01,BULK-INV-5100,5100,2026-04-11,6719N-D,130A,3249B,Paint,0.75,0.961,strict,2
BULK-INV-5145-L01,BULK-INV-5145,5145,2026-04-11,6789B,130A,3249B,Water Based,3.5,0.76,strict,1
BULK-INV-5190-L01,BULK-INV-5190,5190,2026-04-11,6719N-D,130A,3249B,Paint,1.0,0.961,strict,1
BULK-INV-5235-L01,BULK-INV-5235,5235,2026-04-11,6719N-D,130A,3249B,Paint,2.0,0.961,strict,1
BULK-INV-5056-L02,BULK-INV-5056,5056,2026-04-12,6789B,130A,3249B,Water Based,0.5,0.76,strict,1
BULK-INV-5101-L01,BULK-INV-5101,5101,2026-04-12,6719N-D,130A,3249B,Paint,1.25,0.961,strict,1
BULK-INV-5101-L01,BULK-INV-5101,5101,2026-04-12,6789B,130A,3249B,Paint,6.0,1.026,relaxed,2
BULK-INV-5101-L01,BULK-INV-5101,5101,2026-04-12,6770B,130A,3249B,Paint,10.0,1.095,relaxed,3
BULK-INV-5101-L01,BULK-INV-5101,5101,2026-04-12,6528A,130A,3249B,Paint,7.75,1.236,relaxed,4
BULK-INV-5236-L02,BULK-INV-5236,5236,2026-04-12,6528A,130A,3249B,Paint,0.75,1.236,relaxed,1
BULK-INV-5012-L01,BULK-INV-5012,5012,2026-04-13,6528A,130A,3249B,Paint,1.5,1.236,relaxed,1
BULK-INV-5012-L01,BULK-INV-5012,5012,2026-04-13,6823N-B,130A,3249B,Paint,0.5,1.393,relaxed,2
