invoice_line_id,invoice_id,invoice_number,invoice_date,grade,standard_code,requested_qty_mt,allocated_qty_mt,shortfall_qty_mt,scenario_status,best_fit_de_available
BULK-INV-5000-L01,BULK-INV-5000,5000,2026-04-01,130A,3249B,3.0,3.0,0.0,fulfilled_within_strict_band,0.017
BULK-INV-5000-L02,BULK-INV-5000,5000,2026-04-01,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.13
BULK-INV-5045-L01,BULK-INV-5045,5045,2026-04-01,780,STD,2.0,0.0,2.0,unsupported_line,
BULK-INV-5090-L01,BULK-INV-5090,5090,2026-04-01,130A,3249B,1.0,1.0,0.0,fulfilled_within_strict_band,0.119
BULK-INV-5090-L02,BULK-INV-5090,5090,2026-04-01,130,325,2.0,2.0,0.0,fulfilled_within_strict_band,0.292
BULK-INV-5135-L01,BULK-INV-5135,5135,2026-04-01,130,325,12.0,12.0,0.0,fulfilled_within_strict_band,0.292
BULK-INV-5180-L01,BULK-INV-5180,5180,2026-04-01,130A,3249B,1.0,1.0,0.0,fulfilled_within_strict_band,0.017
BULK-INV-5225-L01,BULK-INV-5225,5225,2026-04-01,130,325,1.5,1.5,0.0,fulfilled_within_strict_band,0.13
BULK-INV-5001-L01,BULK-INV-5001,5001,2026-04-02,130A,3249B,3.0,3.0,0.0,fulfilled_within_strict_band,0.017
BULK-INV-5046-L01,BULK-INV-5046,5046,2026-04-02,780,STD,1.0,0.0,1.0,unsupported_line,
BULK-INV-5091-L01,BULK-INV-5091,5091,2026-04-02,130A,3249B,7.5,7.5,0.0,fulfilled_within_strict_band,0.119
BULK-INV-5136-L01,BULK-INV-5136,5136,2026-04-02,130A,3249B,1.5,1.5,0.0,fulfilled_within_strict_band,0.119
BULK-INV-5136-L02,BULK-INV-5136,5136,2026-04-02,130A,3249B,0.5,0.5,0.0,fulfilled_within_strict_band,0.161
BULK-INV-5181-L01,BULK-INV-5181,5181,2026-04-02,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.13
BULK-INV-5226-L01,BULK-INV-5226,5226,2026-04-02,130,325,10.0,10.0,0.0,fulfilled_within_strict_band,0.13
BULK-INV-5002-L01,BULK-INV-5002,5002,2026-04-03,130A,3249B,7.5,7.5,0.0,fulfilled_within_strict_band,0.017
BULK-INV-5002-L02,BULK-INV-5002,5002,2026-04-03,130,325,1.0,1.0,0.0,fulfilled_within_strict_band,0.52
BULK-INV-5047-L01,BULK-INV-5047,5047,2026-04-03,130,325,2.5,2.5,0.0,fulfilled_within_strict_band,0.269
BULK-INV-5092-L01,BULK-INV-5092,5092,2026-04-03,130A,3249B,2.5,2.5,0.0,fulfilled_within_strict_band,0.161
BULK-INV-5092-L02,BULK-INV-5092,5092,2026-04-03,130A,3249B,1.0,1.0,0.0,fulfilled_within_strict_band,0.07
BULK-INV-5137-L01,BULK-INV-5137,5137,2026-04-03,130,325,1.5,1.5,0.0,fulfilled_within_strict_band,0.269
BULK-INV-5182-L01,BULK-INV-5182,5182,2026-04-03,130,325,3.0,3.0,0.0,fulfilled_within_strict_band,0.269
BULK-INV-5227-L01,BULK-INV-5227,5227,2026-04-03,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.284
BULK-INV-5227-L02,BULK-INV-5227,5227,2026-04-03,130,325,0.5,0.5,0.0,fulfilled_within_strict_band,0.284
BULK-INV-5003-L01,BULK-INV-5003,5003,2026-04-04,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.732
BULK-INV-5003-L02,BULK-INV-5003,5003,2026-04-04,130A,3249B,1.5,1.5,0.0,fulfilled_within_strict_band,0.07
BULK-INV-5048-L01,BULK-INV-5048,5048,2026-04-04,130,325,1.25,1.25,0.0,fulfilled_within_strict_band,0.732
BULK-INV-5093-L01,BULK-INV-5093,5093,2026-04-04,130,325,2.5,2.5,0.0,fulfilled_within_strict_band,0.284
BULK-INV-5093-L02,BULK-INV-5093,5093,2026-04-04,130A,3249B,0.75,0.75,0.0,fulfilled_within_strict_band,0.161
BULK-INV-5138-L01,BULK-INV-5138,5138,2026-04-04,130A,3249B,1.5,1.5,0.0,fulfilled_within_strict_band,0.082
BULK-INV-5183-L01,BULK-INV-5183,5183,2026-04-04,130A,3249B,6.0,6.0,0.0,fulfilled_within_strict_band,0.161
BULK-INV-5183-L02,BULK-INV-5183,5183,2026-04-04,130,325,1.0,1.0,0.0,fulfilled_within_strict_band,0.732
BULK-INV-5228-L01,BULK-INV-5228,5228,2026-04-04,130A,3249B,10.0,10.0,0.0,fulfilled_within_strict_band,0.161
BULK-INV-5228-L02,BULK-INV-5228,5228,2026-04-04,130,325,1.5,1.5,0.0,fulfilled_within_strict_band,0.732
BULK-INV-5004-L01,BULK-INV-5004,5004,2026-04-05,130A,3249B,6.0,6.0,0.0,fulfilled_within_strict_band,0.212
BULK-INV-5049-L01,BULK-INV-5049,5049,2026-04-05,920,786,2.0,0.0,2.0,unsupported_line,
BULK-INV-5094-L01,BULK-INV-5094,5094,2026-04-05,130,325,7.5,7.5,0.0,fulfilled_within_strict_band,0.732
BULK-INV-5094-L02,BULK-INV-5094,5094,2026-04-05,130,325,3.0,3.0,0.0,fulfilled_within_strict_band,0.284
BULK-INV-5139-L01,BULK-INV-5139,5139,2026-04-05,130,325,7.5,7.5,0.0,fulfilled_within_strict_band,0.297
BULK-INV-5184-L01,BULK-INV-5184,5184,2026-04-05,130A,3249B,30.0,30.0,0.0,fulfilled_within_strict_band,0.214
BULK-INV-5229-L01,BULK-INV-5229,5229,2026-04-05,130,325,30.0,30.0,0.0,fulfilled_within_strict_band,0.297
BULK-INV-5005-L01,BULK-INV-5005,5005,2026-04-06,129,30A,2.0,0.0,2.0,unsupported_line,
BULK-INV-5050-L01,BULK-INV-5050,5050,2026-04-06,130,325,10.0,10.0,0.0,fulfilled_within_strict_band,0.323
BULK-INV-5050-L02,BULK-INV-5050,5050,2026-04-06,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.799
BULK-INV-5095-L01,BULK-INV-5095,5095,2026-04-06,130,325,1.5,1.5,0.0,fulfilled_within_strict_band,0.371
BULK-INV-5095-L02,BULK-INV-5095,5095,2026-04-06,130A,3249B,1.0,1.0,0.0,fulfilled_within_strict_band,0.082
BULK-INV-5140-L01,BULK-INV-5140,5140,2026-04-06,130,325,3.5,3.5,0.0,fulfilled_within_strict_band,0.371
BULK-INV-5140-L02,BULK-INV-5140,5140,2026-04-06,130,325,1.25,1.25,0.0,fulfilled_within_strict_band,0.371
BULK-INV-5185-L01,BULK-INV-5185,5185,2026-04-06,130,325,0.75,0.75,0.0,fulfilled_within_strict_band,0.799
BULK-INV-5185-L02,BULK-INV-5185,5185,2026-04-06,130,325,1.0,1.0,0.0,fulfilled_within_strict_band,0.799
BULK-INV-5230-L01,BULK-INV-5230,5230,2026-04-06,129,30A,1.0,0.0,1.0,unsupported_line,
BULK-INV-5006-L01,BULK-INV-5006,5006,2026-04-07,130A,3249B,0.5,0.5,0.0,fulfilled_within_strict_band,0.351
BULK-INV-5051-L01,BULK-INV-5051,5051,2026-04-07,130A,3249B,0.5,0.5,0.0,fulfilled_within_strict_band,0.351
