history_order_id,grade,standard_code,customer_name,application,target_method_id,target_l,target_a,target_b,source_row
HIST-130-25-P,130,325,Raveshia Pigments,Paint,method_i_b,53.09,24.48,10.77,25
HIST-130-25-W,130,325,Chemical Impex,Water Based,method_ii,56.38,27.66,18.82,25
HIST-130-26-P,130,325,Asian Paints Nepal,Paint,method_i_b,53.15,24.61,11.22,26
HIST-130-26-W,130,325,Sri Karthikeya,Water Based,method_ii,55.52,28.32,19.3,26
HIST-130-27-P,130,325,Kolorjet Chemicals,Paint,method_i_b,53.32,24.53,11.08,27
HIST-130-27-W,130,325,,Water Based,method_ii,55.59,27.44,18.32,27
HIST-130A-32-P,130A,3249B,Hitershi Global,Paint,method_i_b,53.28,23.67,9.0,32
HIST-130A-32-W,130A,3249B,F& M Associates,Water Based,method_ii,57.72,25.27,15.08,32
HIST-130A-33-P,130A,3249B,,Paint,method_i_b,53.3,23.52,8.86,33
HIST-130A-33-W,130A,3249B,Chemtech,Water Based,method_ii,56.83,26.11,15.73,33
