lot_id,lot_no,grade,standard_code,qty_mt_on_hand,color_family,source_sheet
LOT-6785A,6785A,130,3300,10.0,RED,RED
LOT-6785B,6785B,130,3300,10.0,RED,RED
LOT-6764-A,6764-A,130,3300,10.0,RED,RED
LOT-6764-B,6764-B,130,3300,5.0,RED,RED
LOT-6767A,6767A,130,3300,10.0,RED,RED
LOT-6767B,6767B,130,3300,10.0,RED,RED
LOT-6784A,6784A,130,3300,10.0,RED,RED
LOT-6784B,6784B,130,3300,7.0,RED,RED
LOT-6832A,6832A,130A,3300,10.0,RED,RED
LOT-6833A,6833A,130A,3300,10.0,RED,RED
LOT-6833B,6833B,130A,3300,10.0,RED,RED
LOT-6787A,6787A,130A,3300,10.0,RED,RED
LOT-6787B,6787B,130A,3300,7.0,RED,RED
LOT-6796A,6796A,130A,3300,10.0,RED,RED
LOT-6796B,6796B,130A,3300,8.0,RED,RED
LOT-6797A,6797A,130A,3300,10.0,RED,RED
LOT-6797B,6797B,130A,3300,7.0,RED,RED
LOT-6788A,6788A,130A,3300,10.0,RED,RED
LOT-6788B,6788B,130A,3300,10.0,RED,RED
LOT-6789A,6789A,130A,3300,10.0,RED,RED
LOT-6789B,6789B,130A,3300,10.0,RED,RED
LOT-6782A,6782A,130,3300,10.0,RED,RED
LOT-6812A,6812A,130,3300,10.0,RED,RED
LOT-6812B,6812B,130,3300,10.0,RED,RED
LOT-6528A,6528A,130A,3300,10.0,RED,RED
LOT-6802A,6802A,130A,3300,10.0,RED,RED
LOT-6802B,6802B,130A,3300,10.0,RED,RED
LOT-6803A,6803A,130A,3300,10.0,RED,RED
LOT-6719N-D,6719N-D,130A,3300,5.0,RED,RED
LOT-6778N-B,6778N-B,130,3300,5.0,RED,RED
LOT-6822N-A,6822N-A,130A,3300,5.0,RED,RED
LOT-6822N-C,6822N-C,130,3300,5.0,RED,RED
LOT-6822N-D,6822N-D,130,3300,5.0,RED,RED
LOT-6823N-A,6823N-A,130,3300,5.0,RED,RED
