lot_no,grade,standard_code,special_metric,value,source_status
6785A,130,325,gloss,79.851,imputed
6785A,130,325,chroma,30.675,imputed
6785A,130,325,hue,32.473,imputed
6785A,130,325,special_4,87.134,imputed
6785A,130,325,special_5,100.0,imputed
6785B,130,325,gloss,79.476,imputed
6785B,130,325,chroma,30.584,imputed
6785B,130,325,hue,32.291,imputed
6785B,130,325,special_4,88.101,imputed
6785B,130,325,special_5,100.0,imputed
6764-A,130,325,gloss,79.44,imputed
6764-A,130,325,chroma,31.777,imputed
6764-A,130,325,hue,33.077,imputed
6764-A,130,325,special_4,86.753,imputed
6764-A,130,325,special_5,100.0,imputed
6764-B,130,325,gloss,80.52,imputed
6764-B,130,325,chroma,30.907,imputed
6764-B,130,325,hue,32.66,imputed
6764-B,130,325,special_4,87.718,imputed
6764-B,130,325,special_5,100.0,imputed
6767A,130,325,gloss,77.894,imputed
6767A,130,325,chroma,31.822,imputed
6767A,130,325,hue,33.419,imputed
6767A,130,325,special_4,86.103,imputed
6767A,130,325,special_5,100.0,imputed
6767B,130,325,gloss,78.596,imputed
6767B,130,325,chroma,31.65,imputed
6767B,130,325,hue,32.942,imputed
6767B,130,325,special_4,86.732,imputed
6767B,130,325,special_5,100.0,imputed
6784A,130,325,gloss,79.33,imputed
6784A,130,325,chroma,30.643,imputed
6784A,130,325,hue,32.845,imputed
6784A,130,325,special_4,87.121,imputed
6784A,130,325,special_5,100.0,imputed
6784B,130,325,gloss,81.307,imputed
6784B,130,325,chroma,30.464,imputed
6784B,130,325,hue,32.078,imputed
6784B,130,325,special_4,86.824,imputed
6784B,130,325,special_5,100.0,imputed
6832A,130A,3249B,gloss,73.354,imputed
6832A,130A,3249B,chroma,29.921,imputed
6832A,130A,3249B,hue,32.345,imputed
6832A,130A,3249B,special_4,85.997,imputed
6832A,130A,3249B,special_5,100.0,imputed
6833A,130A,3249B,gloss,74.942,imputed
6833A,130A,3249B,chroma,29.885,imputed
6833A,130A,3249B,hue,32.1,imputed
6833A,130A,3249B,special_4,86.077,imputed
6833A,130A,3249B,special_5,100.0,imputed
6833B,130A,3249B,gloss,76.267,imputed
6833B,130A,3249B,chroma,30.38,imputed
6833B,130A,3249B,hue,32.298,imputed
6833B,130A,3249B,special_4,87.992,imputed
6833B,130A,3249B,special_5,100.0,imputed
6787A,130A,3249B,gloss,80.611,imputed
6787A,130A,3249B,chroma,30.889,imputed
6787A,130A,3249B,hue,31.774,imputed
6787A,130A,3249B,special_4,87.848,imputed
6787A,130A,3249B,special_5,100.0,imputed
6787B,130A,3249B,gloss,77.93,imputed
6787B,130A,3249B,chroma,30.891,imputed
6787B,130A,3249B,hue,31.372,imputed
6787B,130A,3249B,special_4,88.203,imputed
6787B,130A,3249B,special_5,100.0,imputed
6796A,130A,3249B,gloss,78.999,imputed
6796A,130A,3249B,chroma,30.776,imputed
6796A,130A,3249B,hue,32.491,imputed
6796A,130A,3249B,special_4,87.638,imputed
6796A,130A,3249B,special_5,100.0,imputed
6796B,130A,3249B,gloss,77.738,imputed
6796B,130A,3249B,chroma,30.732,imputed
6796B,130A,3249B,hue,32.071,imputed
6796B,130A,3249B,special_4,86.71,imputed
6796B,130A,3249B,special_5,100.0,imputed
6797A,130A,3249B,gloss,80.21,imputed
6797A,130A,3249B,chroma,31.3,imputed
6797A,130A,3249B,hue,32.51,imputed
6797A,130A,3249B,special_4,87.83,imputed
6797A,130A,3249B,special_5,100.0,imputed
6797B,130A,3249B,gloss,81.635,imputed
6797B,130A,3249B,chroma,31.006,imputed
6797B,130A,3249B,hue,32.327,imputed
6797B,130A,3249B,special_4,87.007,imputed
6797B,130A,3249B,special_5,100.0,imputed
6788A,130A,3249B,gloss,81.633,imputed
6788A,130A,3249B,chroma,31.338,imputed
6788A,130A,3249B,hue,31.977,imputed
6788A,130A,3249B,special_4,86.264,imputed
6788A,130A,3249B,special_5,100.0,imputed
6788B,130A,3249B,gloss,77.418,imputed
6788B,130A,3249B,chroma,30.646,imputed
6788B,130A,3249B,hue,32.21,imputed
6788B,130A,3249B,special_4,88.293,imputed
6788B,130A,3249B,special_5,100.0,imputed
6789A,130A,3249B,gloss,78.845,imputed
6789A,130A,3249B,chroma,31.12,imputed
6789A,130A,3249B,hue,32.461,imputed
6789A,130A,3249B,special_4,88.135,imputed
6789A,130A,3249B,special_5,100.0,imputed
6789B,130A,3249B,gloss,78.705,imputed
6789B,130A,3249B,chroma,31.312,imputed
6789B,130A,3249B,hue,32.886,imputed
6789B,130A,3249B,special_4,87.262,imputed
6789B,130A,3249B,special_5,100.0,imputed
6782A,130,325,gloss,79.269,imputed
6782A,130,325,chroma,29.945,imputed
6782A,130,325,hue,32.15,imputed
6782A,130,325,special_4,86.004,imputed
6782A,130,325,special_5,100.0,imputed
6812A,130,325,gloss,78.159,imputed
6812A,130,325,chroma,30.192,imputed
6812A,130,325,hue,31.549,imputed
6812A,130,325,special_4,87.823,imputed
6812A,130,325,special_5,100.0,imputed
