invoice_line_id,invoice_id,invoice_number,invoice_date,lot_no,grade,standard_code,application,allocated_qty_mt,fit_de_to_target,fit_band,allocation_rank
INV-4210-L03,INV-4210,4210,2026-03-14,6764-B,130,325,Paint,2.0,0.13,excellent,1
INV-4301-L01,INV-4301,4301,2026-04-01,6764-B,130,325,Paint,3.0,0.13,excellent,1
INV-4301-L01,INV-4301,4301,2026-04-01,6767A,130,325,Paint,4.5,0.269,excellent,2
INV-4302-L01,INV-4302,4302,2026-04-02,6778N-B,130,325,Water Based,5.0,0.292,excellent,1
INV-4303-L01,INV-4303,4303,2026-04-03,6788A,130A,3249B,Paint,6.0,0.017,excellent,1
INV-4304-L01,INV-4304,4304,2026-04-04,6802A,130A,3249B,Water Based,4.5,0.119,excellent,1
INV-4305-L01,INV-4305,4305,2026-04-05,6767A,130,325,Paint,4.0,0.269,excellent,1
INV-4305-L02,INV-4305,4305,2026-04-05,6802A,130A,3249B,Water Based,3.0,0.119,excellent,1
INV-4306-L01,INV-4306,4306,2026-04-06,6788A,130A,3249B,Paint,4.0,0.017,excellent,1
INV-4306-L01,INV-4306,4306,2026-04-06,6787B,130A,3249B,Paint,7.0,0.07,excellent,2
INV-4306-L01,INV-4306,4306,2026-04-06,6797B,130A,3249B,Paint,7.0,0.082,excellent,3
INV-4306-L01,INV-4306,4306,2026-04-06,6797A,130A,3249B,Paint,10.0,0.09,excellent,4
INV-4306-L01,INV-4306,4306,2026-04-06,6787A,130A,3249B,Paint,10.0,0.101,excellent,5
INV-4306-L01,INV-4306,4306,2026-04-06,6796B,130A,3249B,Paint,8.0,0.197,excellent,6
INV-4306-L01,INV-4306,4306,2026-04-06,6788B,130A,3249B,Paint,10.0,0.271,excellent,7
INV-4306-L01,INV-4306,4306,2026-04-06,6796A,130A,3249B,Paint,10.0,0.331,excellent,8
INV-4306-L01,INV-4306,4306,2026-04-06,6803B,130A,3249B,Paint,5.0,0.429,excellent,9
INV-4306-L01,INV-4306,4306,2026-04-06,6802A,130A,3249B,Paint,2.5,0.526,excellent,10
INV-4306-L01,INV-4306,4306,2026-04-06,6801B,130A,3249B,Paint,4.0,0.59,excellent,11
INV-4306-L01,INV-4306,4306,2026-04-06,6803A,130A,3249B,Paint,10.0,0.611,strict,12
INV-4306-L01,INV-4306,4306,2026-04-06,6822N-A,130A,3249B,Paint,5.0,0.661,strict,13
INV-4306-L01,INV-4306,4306,2026-04-06,6833B,130A,3249B,Paint,10.0,0.708,strict,14
INV-4306-L01,INV-4306,4306,2026-04-06,6833A,130A,3249B,Paint,10.0,0.77,strict,15
INV-4306-L01,INV-4306,4306,2026-04-06,6802B,130A,3249B,Paint,10.0,0.827,strict,16
INV-4306-L01,INV-4306,4306,2026-04-06,6548A,130A,3249B,Paint,4.0,0.833,strict,17
INV-4306-L01,INV-4306,4306,2026-04-06,6832B,130A,3249B,Paint,6.0,0.897,strict,18
INV-4306-L01,INV-4306,4306,2026-04-06,6789A,130A,3249B,Paint,10.0,0.899,strict,19
INV-4306-L01,INV-4306,4306,2026-04-06,6801A,130A,3249B,Paint,10.0,0.915,strict,20
INV-4306-L01,INV-4306,4306,2026-04-06,6832A,130A,3249B,Paint,10.0,0.923,strict,21
INV-4306-L01,INV-4306,4306,2026-04-06,6719N-D,130A,3249B,Paint,5.0,0.961,strict,22
INV-4306-L01,INV-4306,4306,2026-04-06,6789B,130A,3249B,Paint,10.0,1.026,relaxed,23
INV-4306-L01,INV-4306,4306,2026-04-06,6770B,130A,3249B,Paint,10.0,1.095,relaxed,24
INV-4306-L01,INV-4306,4306,2026-04-06,6528A,130A,3249B,Paint,10.0,1.236,relaxed,25
INV-4306-L01,INV-4306,4306,2026-04-06,6823N-B,130A,3249B,Paint,5.0,1.393,relaxed,26
