invoice_line_id,invoice_id,invoice_number,invoice_date,grade,standard_code,requested_qty_mt,allocated_qty_mt,shortfall_qty_mt,scenario_status,best_fit_de_available
INV-4210-L01,INV-4210,4210,2026-03-14,110,30A,8.0,0.0,8.0,unsupported_line,
INV-4210-L02,INV-4210,4210,2026-03-14,129,30A,0.5,0.0,0.5,unsupported_line,
INV-4210-L03,INV-4210,4210,2026-03-14,130,325,2.0,2.0,0.0,fulfilled_within_strict_band,0.13
INV-4210-L04,INV-4210,4210,2026-03-14,780,STD,1.5,0.0,1.5,unsupported_line,
INV-4301-L01,INV-4301,4301,2026-04-01,130,325,7.5,7.5,0.0,fulfilled_within_strict_band,0.13
INV-4302-L01,INV-4302,4302,2026-04-02,130,325,5.0,5.0,0.0,fulfilled_within_strict_band,0.292
INV-4303-L01,INV-4303,4303,2026-04-03,130A,3249B,6.0,6.0,0.0,fulfilled_within_strict_band,0.017
INV-4304-L01,INV-4304,4304,2026-04-04,130A,3249B,4.5,4.5,0.0,fulfilled_within_strict_band,0.119
INV-4305-L01,INV-4305,4305,2026-04-05,130,325,4.0,4.0,0.0,fulfilled_within_strict_band,0.269
INV-4305-L02,INV-4305,4305,2026-04-05,130A,3249B,3.0,3.0,0.0,fulfilled_within_strict_band,0.119
INV-4306-L01,INV-4306,4306,2026-04-06,130A,3249B,225.0,202.5,22.5,partially_allocated,0.017
