color_family,standard_code,grade,method_id,reference_l,reference_a,reference_b,production_date,reference_status
RED,3300,130,method_i_a,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_i_b,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_ii,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_iii,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_iv_a,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_iv_b,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_v_a,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_v_b,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_vi_a,36.79,26.42,16.79,2026-04-28,admin_current
RED,3300,130,method_vi_b,36.79,26.42,16.79,2026-04-28,admin_current
YELLOW,6600,ALL,method_i_a,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_i_b,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_ii,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_iii,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_iv_a,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_iv_b,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_v_a,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_v_b,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_vi_a,57.44,17.28,43.15,2026-04-28,admin_current
YELLOW,6600,ALL,method_vi_b,57.44,17.28,43.15,2026-04-28,admin_current
ORANGE,4400,ALL,method_i_a,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_i_b,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_ii,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_iii,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_iv_a,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_iv_b,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_v_a,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_v_b,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_vi_a,44.77,26.87,26.8,2026-04-28,admin_current
ORANGE,4400,ALL,method_vi_b,44.77,26.87,26.8,2026-04-28,admin_current
